Image,Area,Perimeter,Compactness,MQI
cju8bbznkrf5g0871jncffynk.jpg,97573,1329.79,0.6934,0.6934
cju8bop5jrsid08716i24fqda.jpg,30955,724.16,0.7418,0.7418
cju8bpctzrqkr0850zeldv9kt.jpg,37656,787.75,0.7625,0.7625
cju8bw697rwg308177tg8huas.jpg,171719,2527.78,0.3377,0.3377
cju8c1a0ws7o208181c6lbsom.jpg,102124,1253.83,0.8163,0.8163
cju8c5223s8j80850b4kealt4.jpg,8005,366.41,0.7493,0.7493
cju8ca4geseia0850i2ru11hw.jpg,40905,951.7,0.5675,0.5675
cju8ca4geseia0850i2ru11hw.jpg,28083,1051.98,0.3189,0.3189
cju8cattbsivm0818p446wgel.jpg,109223,1633.56,0.5143,0.5143
cju8cattbsivm0818p446wgel.jpg,139701,1917.0,0.4777,0.4777
cju8cgi2kspp308011nxdtjp6.jpg,16277,567.39,0.6354,0.6354
cju8czvnztbf40871b4m7t78w.jpg,56755,999.92,0.7133,0.7133
cju8dic9mtppa0987swn23wbc.jpg,104631,1383.84,0.6866,0.6866
cjyzl833ndne80838pzuq6ila.jpg,60214,1083.88,0.6441,0.6441
cjyzlw7f9faqr070129au64sq.jpg,50136,906.24,0.7671,0.7671
cjyzu3reghjya0794w7pwoi50.jpg,54328,1115.03,0.5491,0.5491
cjyzu9th0qt4r0a46pyl4zik0.jpg,37542,792.28,0.7516,0.7516
cjyzufihqquiw0a46jatrbwln.jpg,148926,1970.76,0.4818,0.4818
cjyzurzvohqnr0794es1itzek.jpg,68478,1080.52,0.737,0.737
ck2bxqz3evvg20794iiyv5v2m.jpg,6871,330.74,0.7893,0.7893
